,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Austin Ekeler,11.2,18.4,13.3,34.9,35.9,24.3,36.7,0.0,24.1,13.3,18.0,25.0,13.2,24.4,15.0,23.9,32.1,363.7,RB,2.0
Christian McCaffrey,15.7,16.8,13.5,25.8,23.4,22.8,8.2,40.26,0.0,17.7,17.6,8.9,28.6,29.3,25.8,13.8,31.3,339.46000000000004,RB,4.0
Josh Jacobs,8.3,9.1,14.7,34.5,30.3,0.0,36.5,7.4,11.7,22.6,19.0,48.3,21.0,19.4,13.0,6.0,19.5,321.29999999999995,RB,39.0
Derrick Henry,8.2,8.5,25.3,23.7,27.2,0.0,16.8,35.8,23.5,8.7,25.36,14.7,5.8,20.5,26.3,18.6,0.0,288.96000000000004,RB,6.0
Saquon Barkley,33.4,11.8,22.6,18.2,19.6,18.5,17.5,15.2,0.0,23.0,5.5,15.2,19.1,6.8,23.0,27.3,7.3,284.0,RB,24.0
Nick Chubb,15.3,32.3,17.3,20.7,25.4,8.0,18.7,25.4,0.0,15.1,9.7,20.2,8.0,8.4,9.9,11.2,12.6,258.20000000000005,RB,17.0
Tony Pollard,4.2,19.8,10.5,1.8,14.6,7.2,12.9,33.7,0.0,21.8,36.9,8.1,24.6,22.2,14.6,14.0,0.0,246.9,RB,86.0
Aaron Jones,10.6,32.0,5.7,14.5,10.0,7.4,28.6,19.7,6.5,23.6,14.0,18.9,10.0,0.0,20.6,5.4,13.3,240.8,RB,19.0
Rhamondre Stevenson,4.7,6.1,20.1,12.9,19.5,25.1,23.8,21.3,16.0,0.0,14.2,20.2,13.8,3.0,24.8,3.3,7.1,235.9,RB,95.0
Dalvin Cook,13.8,7.6,13.6,10.6,26.1,15.3,0.0,25.1,13.6,23.6,7.2,9.6,16.3,8.6,27.0,10.7,6.4,235.10000000000002,RB,8.0
Leonard Fournette,15.7,9.4,12.0,18.4,35.9,22.1,4.6,14.8,11.0,10.8,0.0,0.0,14.1,10.6,11.4,25.2,8.7,224.7,RB,22.0
Joe Mixon,21.5,11.3,6.8,17.4,11.8,16.8,18.1,12.9,55.1,0.0,9.2,0.0,0.0,12.6,10.4,17.8,0.0,221.7,RB,10.0
Miles Sanders,18.5,11.6,5.4,29.6,8.4,14.2,0.0,13.8,15.3,5.4,5.8,31.0,11.8,28.5,1.9,6.1,6.1,213.4,RB,74.0
Najee Harris,10.6,13.9,13.1,7.4,6.6,12.9,11.0,11.96,0.0,9.9,27.6,10.9,10.2,13.0,14.6,15.5,20.3,209.46,RB,7.0
Jamaal Williams,16.0,7.0,24.7,23.9,5.6,0.0,7.3,22.6,10.1,11.9,24.4,10.6,9.5,3.7,3.3,3.4,22.7,206.7,RB,154.0
James Conner,16.5,7.1,8.7,10.7,7.3,0.0,0.0,0.0,11.4,23.6,13.4,21.0,0.0,23.4,18.1,25.0,14.0,200.2,RB,31.0
