,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Travis Kelce,26.1,10.1,17.9,24.2,33.5,19.2,15.8,0.0,20.6,20.1,35.5,15.7,7.6,11.1,20.5,17.3,11.3,306.5,TE,13.0
T.J. Hockenson,7.8,5.6,10.8,39.9,1.6,0.0,8.8,11.0,16.0,11.5,8.4,15.3,7.3,11.7,8.3,35.9,12.9,212.8,TE,71.0
Mark Andrews,10.2,25.7,28.9,3.5,22.9,23.6,0.4,6.3,0.0,0.0,12.3,11.0,9.4,3.7,6.1,7.5,19.0,190.5,TE,21.0
George Kittle,0.0,0.0,6.8,4.4,7.7,16.3,21.8,12.9,0.0,3.1,24.4,5.6,4.2,6.8,25.3,30.0,12.3,181.60000000000002,TE,47.0
Evan Engram,6.8,11.6,3.9,2.6,12.9,9.0,10.7,15.5,1.8,4.4,0.0,1.4,14.0,39.2,14.2,18.3,3.9,170.2,TE,164.0
Pat Freiermuth,12.5,12.2,6.1,15.5,3.2,0.0,15.5,9.7,0.0,7.6,15.9,6.9,10.6,12.3,0.0,13.6,6.6,148.2,TE,144.0
Tyler Higbee,8.9,14.1,10.1,17.3,11.6,1.7,0.0,3.5,0.0,15.3,8.5,0.0,3.4,3.1,12.7,30.4,4.1,144.7,TE,281.0
Dalton Schultz,13.2,1.8,0.0,0.0,0.0,0.0,9.9,13.4,0.0,17.4,5.2,19.1,5.3,14.7,3.5,7.3,24.6,135.4,TE,67.0
Juwan Johnson,6.3,8.0,0.0,6.3,2.3,8.1,20.2,3.4,12.2,15.4,13.7,0.0,0.0,0.0,22.7,1.9,11.2,131.7,TE,393.0
Cole Kmet,0.0,0.0,6.0,4.6,8.5,2.5,5.2,9.1,22.0,23.4,6.5,5.7,13.2,0.0,6.5,7.7,10.7,131.6,TE,126.0
Dallas Goedert,9.0,13.2,11.6,12.2,17.5,4.2,0.0,12.4,24.0,9.3,0.0,0.0,0.0,0.0,0.0,9.7,7.5,130.6,TE,87.0
Gerald Everett,14.4,13.1,4.5,17.1,1.2,7.9,11.3,0.0,8.6,4.3,0.0,7.8,13.0,7.8,8.2,0.0,10.5,129.7,TE,177.0
Tyler Conklin,11.6,10.0,16.4,8.2,0.0,2.7,6.2,25.9,1.7,0.0,3.5,8.0,2.9,7.8,1.9,7.4,14.0,128.2,TE,339.0
David Njoku,1.7,6.2,23.9,9.7,14.8,8.8,14.1,0.0,0.0,0.0,3.7,13.9,0.0,18.7,5.8,3.4,3.1,127.79999999999998,TE,157.0
Dawson Knox,1.5,8.1,6.5,7.0,0.0,12.7,0.0,9.0,5.5,9.7,14.0,3.7,0.0,14.1,21.8,12.8,0.0,126.4,TE,111.0
Noah Fant,4.6,3.1,6.7,7.2,7.9,10.5,1.7,3.9,14.6,6.4,0.0,6.4,14.2,0.0,14.2,9.2,6.0,116.6,TE,198.0
Zach Ertz,11.4,15.5,10.5,16.7,10.8,14.0,6.1,13.4,15.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.6,TE,96.0
Robert Tonyan,6.6,3.1,9.7,10.2,6.3,19.0,6.2,8.5,5.9,1.8,3.9,5.0,2.0,0.0,1.4,2.3,14.2,106.10000000000001,TE,171.0
Hayden Hurst,9.6,7.4,1.7,11.7,17.3,5.1,10.8,8.2,8.5,0.0,4.8,11.7,3.2,0.0,0.0,0.0,0.0,100.0,TE,286.0
Hunter Henry,4.0,0.0,1.8,3.3,9.4,16.1,2.2,3.2,9.0,0.0,3.0,15.3,3.3,10.0,2.9,0.0,10.2,93.7,TE,249.0
Cade Otton,0.0,1.4,0.0,5.9,10.3,4.3,10.4,3.5,17.8,6.5,0.0,0.0,14.8,6.8,3.0,3.2,3.7,91.60000000000001,TE,295.0
Austin Hooper,1.6,2.9,3.9,1.4,1.7,0.0,8.6,1.5,5.4,9.1,19.6,6.0,5.2,11.8,5.3,4.0,1.6,89.6,TE,235.0
Mike Gesicki,1.1,14.1,1.6,4.3,4.0,24.9,5.7,12.8,1.3,5.1,0.0,0.0,0.0,0.0,1.5,3.4,9.8,89.6,TE,120.0
Greg Dulcich,0.0,0.0,0.0,0.0,0.0,12.4,11.1,12.7,0.0,2.1,7.0,3.1,14.5,7.2,2.1,13.9,0.0,86.10000000000001,TE,358.0
Foster Moreau,0.0,6.0,7.4,0.0,0.0,0.0,5.8,9.1,6.2,13.3,4.3,12.3,4.2,0.0,4.0,3.9,8.5,85.0,TE,294.0
Darren Waller,11.9,17.0,5.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,9.8,16.2,79.3,TE,49.0
Kyle Pitts,3.9,3.9,13.7,3.5,0.0,10.9,3.9,19.0,4.7,4.8,7.3,0.0,0.0,0.0,0.0,0.0,0.0,75.6,TE,34.0
Daniel Bellinger,0.0,8.6,8.0,5.3,10.4,14.8,2.3,0.0,0.0,0.0,0.0,0.0,7.4,4.9,1.4,4.7,7.2,75.0,TE,302.0
Logan Thomas,7.5,12.7,2.5,6.9,0.0,0.0,0.0,0.0,0.0,3.2,11.5,1.7,5.0,0.0,1.6,9.5,11.6,73.7,TE,277.0
Isaiah Likely,0.0,8.3,1.8,0.0,2.7,5.0,2.6,19.7,9.4,0.0,1.1,0.0,7.0,0.0,3.8,1.4,10.2,73.0,TE,405.0
Jelani Woods,0.0,0.0,15.3,4.3,0.0,10.7,1.4,0.0,1.2,0.0,0.0,17.8,4.8,0.0,4.6,7.3,4.9,72.30000000000001,TE,252.0
