,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Justin Jefferson,39.4,10.8,4.4,31.0,30.32,16.7,0.0,15.8,25.5,35.3,6.3,29.34,18.6,33.3,30.3,31.3,2.5,360.86,WR,5.0
Tyreek Hill,18.0,42.0,5.3,25.9,13.0,29.7,14.2,31.5,27.3,15.4,0.0,15.0,29.6,18.1,21.9,14.3,15.7,336.9,WR,23.0
Davante Adams,30.1,9.2,14.2,19.5,27.4,0.0,17.5,1.2,36.6,27.6,33.1,14.4,37.7,10.1,6.8,3.5,34.3,323.2,WR,11.0
Stefon Diggs,26.2,44.8,14.4,10.2,24.2,30.8,0.0,22.8,14.3,24.8,14.8,21.7,22.2,6.7,10.7,4.6,0.0,293.2,WR,12.0
A.J. Brown,25.5,11.9,19.5,14.5,6.2,17.7,0.0,39.6,15.9,1.7,9.0,12.6,31.9,17.0,27.1,16.3,19.7,286.09999999999997,WR,29.0
CeeDee Lamb,4.9,15.1,22.7,21.7,10.3,12.7,10.6,18.8,0.0,38.0,9.5,17.7,20.4,8.3,19.7,34.0,21.0,285.4,WR,18.0
Amon-Ra St. Brown,20.4,39.4,13.3,0.0,5.8,0.0,1.4,13.9,9.5,22.1,15.0,27.9,34.6,13.4,15.2,14.6,10.2,256.7,WR,52.0
Jaylen Waddle,17.7,40.1,15.1,5.9,5.3,16.9,12.8,30.6,19.5,10.6,0.0,13.5,1.9,5.1,20.4,25.3,8.2,248.9,WR,32.0
DeVonta Smith,0.0,15.0,30.9,4.7,18.7,15.4,0.0,7.3,4.2,13.9,13.8,9.0,21.2,17.4,17.6,31.3,20.5,240.89999999999998,WR,79.0
Amari Cooper,4.7,25.1,23.1,1.9,20.6,14.4,10.4,22.1,0.0,6.2,31.3,16.4,8.0,6.2,9.8,13.2,25.5,238.9,WR,56.0
Mike Evans,18.1,9.1,0.0,30.3,12.1,8.2,18.6,18.3,9.0,10.4,0.0,5.1,9.9,8.4,13.3,5.9,48.7,225.40000000000003,WR,25.0
Tyler Lockett,5.8,19.7,16.6,15.1,27.4,3.7,11.5,15.3,17.7,13.2,0.0,15.8,27.8,17.0,13.8,0.0,3.5,223.9,WR,82.0
Christian Kirk,17.7,25.8,19.2,8.3,2.1,12.8,17.1,7.0,21.6,31.5,0.0,8.1,16.4,9.5,15.2,5.6,4.1,221.99999999999997,WR,97.0
DK Metcalf,8.6,7.5,17.4,21.9,17.8,5.4,2.2,17.5,14.7,13.1,0.0,20.0,26.7,18.1,12.5,15.1,1.3,219.8,WR,46.0
